comment_id,comment,full_comment,topic,domain
comment_0_60,best spa <SEP> positive,The Joys Spa is the BEST in town .,drink -> quality,Hotels
comment_0_61,best spa massage <SEP> positive,"Next time , I will search Yelp for best spa massage in area .",drink -> quality,Beauty & Spas
comment_0_62,best treatment <SEP> positive,I get the best treatment over any other nail salon,drink -> quality,Beauty & Spas
comment_0_63,better coffee <SEP> positive,Coffee was better than the hotel next doors too .  ,drink -> quality,Hotels
comment_0_64,better dill slices <SEP> negative,"Dill Slices would be better , but great taste all the same .",drink -> quality,Restaurants
comment_0_65,better pho <SEP> negative,There are so many better pho places,drink -> quality,Restaurants
comment_0_66,better vida vida <SEP> positive,Even Vida Vida was better .  ,drink -> quality,Restaurants
comment_0_67,bitter coffee <SEP> negative,The coffee is bitter .,drink -> quality,Arts & Entertainment
comment_0_68,blackened hands <SEP> negative,One thing to note is your hands will be blackened from the steering wheel .,drink -> quality,Arts & Entertainment
comment_0_69,blackish foot shower floor <SEP> negative,And the shower floor had blackish foot prints that either were n't cleaned or are permanently etched in the floor .,drink -> quality,Hotels
comment_0_70,bleeding chicken <SEP> negative,The chicken was bleeding and the meat was so dry .  ,drink -> quality,Hotels
comment_0_71,blend 20 crowd <SEP> negative,The crowd on this evening was a blend 20 + to the older patrons .,drink -> quality,Arts & Entertainment
comment_0_72,blew gel manicure <SEP> negative,"I would have gotten a pedicure too , but the gel manicure kinda blew my budget for the day .  ",drink -> quality,Beauty & Spas
comment_0_73,bliss stay cation <SEP> negative,This stay cation was a bliss for my husband and I .,drink -> quality,Hotels
comment_0_74,blood stained room <SEP> negative,I got a room with blood stained sheets and carpet with stains all over it .,drink -> quality,Hotels
comment_0_75,bomb alcoholic milkshakes <SEP> negative,The alcoholic milkshakes are bomb & could get you in trouble .,drink -> quality,Restaurants
comment_0_76,bomb strawberry margarita <SEP> positive,The strawberry margarita was Bomb ! ! !,drink -> quality,Restaurants
comment_0_77,bonus wine <SEP> positive,The wine and cheese was a bonus .,drink -> quality,Beauty & Spas
comment_0_78,breath taking spa <SEP> positive,The Spa itself is breath taking .,drink -> quality,Beauty & Spas
comment_0_79,broken toilet <SEP> negative,"On the first day , the toilet in our unit was broken and we had n't used it yet .   ",drink -> quality,Hotels
comment_0_80,calorific pastries <SEP> positive,"I 'm fairly certain , however , that a regular Panera diet will give you diabetes-- those pastries are calorific !",drink -> quality,Restaurants
comment_0_81,casual coffee house vibe <SEP> positive,It 's a casual coffee house vibe that people have come to know and love and locals obviously love it .,drink -> quality,Arts & Entertainment
comment_0_82,cheap drinks <SEP> positive,The drinks are cheap and there 's always something to see .  ,drink -> quality,Arts & Entertainment
comment_0_83,cheap pour <SEP> positive,"yah , it was the correct pour , but looked cheap .",drink -> quality,Arts & Entertainment
comment_0_84,cheap tight machines <SEP> negative,Still cheap tight machines .  ,drink -> quality,Arts & Entertainment
comment_0_85,clean bath <SEP> positive,The bed and bath were clean .,drink -> quality,Hotels
comment_0_86,clean coffee shop <SEP> positive,Cleanliness ( clean coffee shop from the lobby to the restrooms . )  ,drink -> quality,Arts & Entertainment
comment_0_87,clean everyone <SEP> positive,There are no rookie barbers here and everyone is very professional and clean !,drink -> quality,Beauty & Spas
comment_0_88,clean girls <SEP> positive,"The girls are clean and patient , they take their time , so you are satisified with the results .  ",drink -> quality,Beauty & Spas
comment_0_89,clean linen <SEP> negative,The bed did n't have clean linen 's .,drink -> quality,Hotels
comment_0_90,clean lots of pools <SEP> positive,Clean lots of pools and hot tubs .  ,drink -> quality,Hotels
comment_0_91,clean shower <SEP> positive,It took us 3 tries to find a room with a clean shower and a fridge that worked .,drink -> quality,Hotels
comment_0_92,cleaner holiday in <SEP> positive,The Holiday in was cleaner and better appointed .,drink -> quality,Hotels
comment_0_93,cleanest nail salons <SEP> positive,First of all it is BEAUTIFUL and one of the cleanest nail salons I 've ever been to .,drink -> quality,Beauty & Spas
comment_0_94,cleanest resturant <SEP> positive,The cleanest resturant I 've ever seen .,drink -> quality,Restaurants
comment_0_95,closed pool <SEP> negative,"I was very let down that the pool was closed and under construction when we visited , but that 's really not the hotel 's fault .",drink -> quality,Hotels
comment_0_96,cloudy pool <SEP> negative,"If you do n't mind cloudy pool water and an urban crowd that gets their thrills from drunken attempts at twerking , you may enjoy it .",drink -> quality,Arts & Entertainment
comment_0_96,cloudy pool <SEP> negative,Pool was cloudy .,drink -> quality,Hotels
comment_0_97,cold beverages <SEP> positive,"Very polite & attentive as well , cold beverages offered as soon as your seated .",drink -> quality,Beauty & Spas
comment_0_98,cold plunge pool <SEP> negative,"There is a steam , sauna , cold plunge pool ,   and jacuzzi .",drink -> quality,Beauty & Spas
comment_0_99,comped drinks <SEP> positive,Edit to my review : our drinks were comped and I appreciate that gesture .,drink -> quality,Restaurants
comment_0_100,completely painless removal <SEP> negative,The removal was completely painless,drink -> quality,Beauty & Spas
comment_0_101,complimentary drinks <SEP> positive,Complimentary evening snacks and drinks are the only perk .,drink -> quality,Hotels
comment_0_102,consistent sns <SEP> positive,"Quality of their SNS is consistent , never too thick or lumpy .",drink -> quality,Beauty & Spas
comment_0_103,cool staycations <SEP> positive,highlights from last summer were cool little staycations at the Oasis .,drink -> quality,Hotels
comment_0_104,could n't be happier massage <SEP> positive,"I could n't be happier , especially since this was my first massage ever !",drink -> quality,Beauty & Spas
comment_0_105,cute coffee house <SEP> positive,Very trendy and cute coffee house !,drink -> quality,Arts & Entertainment
comment_0_106,daily drink specials <SEP> positive,"Enjoy the daily drink specials , and Taco Tuesday 's !",drink -> quality,Restaurants
comment_0_107,daily free drinks <SEP> positive,There 's also Daily free drinks from 5 : 30 - 7 : 30 with light snacks .,drink -> quality,Hotels
comment_0_108,decently enjoyable overall experience <SEP> positive,Overall experience was decently enjoyable .,drink -> quality,Restaurants
comment_0_109,definite 5 star experience <SEP> positive,A definite 5 star experience .,drink -> quality,Arts & Entertainment
comment_0_110,delectable drinks <SEP> positive,The bar 's special drinks were also delectable .,drink -> quality,Hotels
comment_0_111,delian bar <SEP> positive,The restaurant and bar are also Delian !,drink -> quality,Hotels
comment_0_112,delicious coffee <SEP> positive,Btw their COFFEE is delicious ! ! ! !,drink -> quality,Beauty & Spas
comment_0_113,delicious milkshakes <SEP> positive,Milkshakes were delicious !,drink -> quality,Restaurants
comment_0_114,delicious strawberries <SEP> positive,"When we came back there was a tray of chocolate covered strawberries ( which were delicious ! ) , a bottle of prosecco , and a note from the hotel saying happy anniversary , how sweet !",drink -> quality,Hotels
comment_0_115,delicious while wine olive oil sauce <SEP> positive,"The pappardelle al funghi , a delicious while wine and olive oil sauce , was tossed with pasta and shiitake mushrooms !  ",drink -> quality,Restaurants
comment_0_116,delish guac <SEP> positive,Also the guac is delish !,drink -> quality,Restaurants
comment_0_117,did n't have that great of an experience <SEP> negative,but when we came in tonight we did n't have that great of an experience .,drink -> quality,Restaurants
comment_0_118,die for chilean seabass <SEP> positive,Elements ' Chilean seabass is to die for .,drink -> quality,Hotels
comment_0_119,die for filet mignon <SEP> positive,The bone - in filet mignon ... to die for !,drink -> quality,Restaurants
comment_0_120,die for shoulder massage <SEP> positive,"The shoulder massage she give you during your wash , omg to die for .",drink -> quality,Beauty & Spas
comment_0_121,different drinks <SEP> negative,"Only giving 4 stars because of the fact that you do not get free drinks when you are gambling which is different from what I am used to ( Vegas / Wendover , etc . )   Is this an Indian Casino thing or state law or ? ?  ",drink -> quality,Arts & Entertainment
comment_0_122,different massages <SEP> positive,They have many different massages and they are all amazing .  ,drink -> quality,Beauty & Spas
comment_0_123,dirty bathtub <SEP> negative,the only bad thing I 'm going to say is that the bathtub looks dirty it really needs to be reglazed .  ,drink -> quality,Hotels
comment_0_124,dirty iced chai <SEP> negative,I ordered a dirty iced chai with light ice .  ,drink -> quality,Arts & Entertainment
comment_0_125,dirty shower glass <SEP> negative,Shower glass is dirty .  ,drink -> quality,Hotels
comment_0_126,dirty water <SEP> negative,Water is soooo dirty .  ,drink -> quality,Arts & Entertainment
comment_0_127,disappointed latte <SEP> negative,I was especially disappointed with their latte anyway ago .,drink -> quality,Arts & Entertainment
comment_0_128,disappointment dumplings <SEP> negative,"The only disappointment was the dumplings , they were obviously made with store bought wonton wrappers ,",drink -> quality,Restaurants
comment_0_129,dissatisfied taste <SEP> negative,I ordered this because of what the menu said and I was very dissatisfied with the taste and ingredients in my burrito .,drink -> quality,Restaurants
comment_0_130,do deltoid goodness gracious drinks <SEP> positive,But the drinks at the pool were do deltoid goodness gracious,drink -> quality,Hotels
comment_0_131,down fountain system <SEP> negative,I mean their entire fountain system was down .,drink -> quality,Arts & Entertainment
comment_0_132,down wine selection <SEP> negative,The wine selection also has gone down in quality and up in price .,drink -> quality,Restaurants
comment_0_133,downhill resort <SEP> negative,Was really disappointed with how this resort has gone downhill .,drink -> quality,Hotels
comment_0_134,dried stains bathroom door <SEP> negative,The bathroom door had dried stains as well .,drink -> quality,Hotels
comment_0_135,dripped all night bathroom faucets <SEP> negative,My bathroom faucets ( both shower and sink ) dripped all night .,drink -> quality,Hotels
comment_0_136,drunk group <SEP> negative,"Loud , drunk group of men .",drink -> quality,Hotels
comment_0_137,dry carnitas <SEP> negative,"It was stuffed with pico de gallo and guacamole , in addition to the dry carnitas .  ",drink -> quality,Restaurants
comment_0_138,dry dumplings <SEP> negative,The dumplings were dry and did n't have a lot of flavor either .,drink -> quality,Restaurants
comment_0_139,dry hair <SEP> positive,It gets hot but it gets your hair dry and voluminous in minutes !,drink -> quality,Beauty & Spas
comment_0_140,dry heals <SEP> negative,Our heals were dry and we left their with beautiful manicured feet !,drink -> quality,Beauty & Spas
comment_0_141,dry lettuce <SEP> negative,"If you go to any other location in town , like the rainbow location , they are stingy and do n't give you a proper sandwich , and their lettuce is dry and blackened .",drink -> quality,Restaurants
comment_0_142,dry nail polish <SEP> positive,"To me , getting a pedicure is not the pretty nail polish , but getting the dry skin off my feet .",drink -> quality,Beauty & Spas
comment_0_143,easier takeout <SEP> negative,This sacrifices the heat of the meal just so packing takeout orders can be easier for them .,drink -> quality,Restaurants
comment_0_144,easy online purchasing <SEP> positive,Easy online purchasing and seat reservations .,drink -> quality,Arts & Entertainment
comment_0_145,enjoy wine bar <SEP> positive,I only enjoy eating and drinking in the upstairs wine bar .  ,drink -> quality,Restaurants
comment_0_146,enjoyed aromatherapy soak with massage <SEP> positive,I enjoyed the aromatherapy soak with massage along with shirodhara ayurvedic oil treatment .  ,drink -> quality,Beauty & Spas
comment_0_147,enjoyed cotton candy drink <SEP> positive,Took my daughter for her special birthday dinner and they enjoyed the cotton candy drink !  ,drink -> quality,Restaurants
comment_0_148,enjoyed fra gras <SEP> positive,Enjoyed the fra gras .,drink -> quality,Restaurants
comment_0_149,enjoyed massages <SEP> positive,"Thank you , we enjoyed our massages and will be back .",drink -> quality,Beauty & Spas
comment_0_150,enjoyed wine soju <SEP> positive,"We were not disappointed , my friends and I thoroughly enjoyed the wine soju which was quite unique and incredibly delicious .",drink -> quality,Restaurants
comment_0_151,enough washcloths <SEP> negative,There were enough towels and washcloths which has always been a gripe for me since so many places do n't supply enough .,drink -> quality,Hotels
comment_0_152,excellent cocoa <SEP> negative,I got the term is Sue which was excellent except a bit too much Cocoa .,drink -> quality,Restaurants
comment_0_153,excellent deal drink service <SEP> positive,Gave our group an excellent deal on the Cabana 's and drink service .,drink -> quality,Arts & Entertainment
comment_0_154,excellent drink prices <SEP> positive,We were there for happy hour and the drink prices were excellent !,drink -> quality,Hotels
comment_0_155,excellent lavender oil <SEP> positive,"I had her use the lavender oil throughout , and it smelled excellent .   ",drink -> quality,Beauty & Spas
comment_0_156,excellent massages <SEP> positive,All the massages I got were excellent .,drink -> quality,Beauty & Spas
comment_0_157,expensive drinks <SEP> negative,The drinks were expensive .  ,drink -> quality,Arts & Entertainment
comment_0_158,extra long massage / scrub <SEP> negative,"It has the hot wax , extra long massage / scrub , hot stone rub and multiple lotions and oils .",drink -> quality,Beauty & Spas
comment_0_159,fabulous massage scrub <SEP> positive,Did a Fabulous massage scrub and foot Awakening .,drink -> quality,Beauty & Spas
comment_0_160,fantastic drinks <SEP> positive,The drinks are fantastic .,drink -> quality,Restaurants
comment_0_161,fantastic drunken tiger <SEP> positive,Drunken tiger is fantastic !  ,drink -> quality,Restaurants
comment_0_162,far better water show <SEP> positive,Save your money and go watch the Bellagio fountains for free and it 's a far better water show !,drink -> quality,Arts & Entertainment
comment_0_163,far from cheap drinks <SEP> negative,It 's dirty and the drinks are far from cheap .,drink -> quality,Arts & Entertainment
comment_0_164,favorite coffee shop <SEP> positive,SoZo is my favorite coffee shop in the East Valley .,drink -> quality,Arts & Entertainment
comment_0_165,favorite drink <SEP> positive,Smash pepper cocktail from Jade Bar is one of my favorite drink now .,drink -> quality,Hotels
comment_0_166,favorite kettle corn <SEP> positive,the kettle corn is her favorite .,drink -> quality,Arts & Entertainment
comment_0_167,favourite pho <SEP> positive,My absolute favourite pho in the city .,drink -> quality,Restaurants
comment_0_168,filling restarant <SEP> positive,"and I recommend this cheap , fast , and filling restarant to everyone new or visiting the city , even if they do n't ask !",drink -> quality,Restaurants
comment_0_169,filthiest hotel room <SEP> negative,Filthiest hotel room I 've ever seen in 30yrs of travel ! !,drink -> quality,Hotels
comment_0_170,filthy toilet <SEP> negative,"Upon checking , we witnessed a filthy toilet with black marks under the rim trailing into the bowl .",drink -> quality,Hotels
comment_0_171,five star experience <SEP> positive,The entire experience is five star from the moment you step off the elevator .,drink -> quality,Beauty & Spas
comment_0_172,five stars experience <SEP> positive,The rest of the experience is five stars though .,drink -> quality,Arts & Entertainment
comment_0_173,flat beverages <SEP> positive,The cold beverages are offered while you wait and the flat - screen TVs making the environment feel like home  ,drink -> quality,Beauty & Spas
comment_0_174,flavorful fajitas <SEP> positive,The fajitas are flavorful .  ,drink -> quality,Restaurants
comment_0_175,flooded bathroom <SEP> negative,The only downfall was the bathroom flooded and caused a smelly situation haha,drink -> quality,Arts & Entertainment
comment_0_176,flowing drinks <SEP> negative,Drinks were flowing .,drink -> quality,Restaurants
comment_0_177,flowing freely iced tea <SEP> positive,Wine and iced tea were flowing freely .,drink -> quality,Hotels
comment_0_178,free bottle service <SEP> positive,We got the hook up with free bottle service .  ,drink -> quality,Arts & Entertainment
comment_0_179,free bottled water <SEP> positive,They include two free bottled water in your room .  ,drink -> quality,Hotels
comment_0_179,free bottled water <SEP> positive,They also provide free bottled water or soda .,drink -> quality,Beauty & Spas
comment_0_180,free champagne <SEP> positive,At 10 we headed up to Moon cuz it was free champagne for the ladies .,drink -> quality,Arts & Entertainment
comment_0_181,free chocolates <SEP> positive,And they also gave us free chocolates for our anniversary,drink -> quality,Beauty & Spas
comment_0_182,free drink <SEP> positive,"Oh ya and they offer you a free drink if you give them good reviews , not even enticed .",drink -> quality,Hotels
comment_0_183,free drink all day <SEP> positive,Free drink all day .,drink -> quality,Beauty & Spas
comment_0_184,free drink tickets <SEP> positive,My girls and I waited over 35 minutes to get up the the club- even with front of the line and 4 free drink tickets .,drink -> quality,Arts & Entertainment
comment_0_185,free drinks <SEP> positive,If you are gambling the drinks are free ( like most places in Vegas ) .  ,drink -> quality,Arts & Entertainment
comment_0_185,free drinks <SEP> positive,2 free drinks in the evening was a plus & that 's from 5 : 30,drink -> quality,Hotels
comment_0_185,free drinks <SEP> positive,we recieved 2 free drinks !,drink -> quality,Restaurants
comment_0_186,free earplugs <SEP> positive,They give you free earplugs in every room,drink -> quality,Hotels
comment_0_187,free kettle <SEP> positive,Free Kettle One all night long ( you ca n't beat that ) !  ,drink -> quality,Arts & Entertainment
comment_0_188,free laundry <SEP> positive,The laundry is free ! !  ,drink -> quality,Hotels
comment_0_189,free movie passes <SEP> positive,But we typically have free movie passes so paying $ 4 for a soda does n't hurt as bad .,drink -> quality,Arts & Entertainment
comment_0_190,free of charge cabanas <SEP> positive,The resort has several bbq pits and roof top pool covered cabanas free of charge .,drink -> quality,Hotels
comment_0_191,free refill <SEP> positive,Popcorn comes with free refill .  ,drink -> quality,Arts & Entertainment
comment_0_192,free refills <SEP> positive,50 for a big bucket of popcorn and two free refills !,drink -> quality,Arts & Entertainment
comment_0_192,free refills <SEP> positive,If you purchase a coffee from the Starbucks down stairs you get free refills all day and they have almond milk ! ! ! ! ! !,drink -> quality,Hotels
comment_0_193,free refills large <SEP> positive,Not sure if this location has free refills on large popcorn but the Cinemark I used to visit in Anahaim did so,drink -> quality,Arts & Entertainment
comment_0_194,free soda <SEP> positive,Free soda with yelp check in  ,drink -> quality,Restaurants
comment_0_195,free soft drink <SEP> positive,"If you check in on yelp , there s a free soft drink with your purchase .",drink -> quality,Restaurants
comment_0_196,free towels <SEP> positive,"They have free towels there so you do n't have to bring your own , but you do have to be in swim attire .",drink -> quality,Arts & Entertainment
comment_0_197,free water <SEP> positive,They offered slippers and free water .,drink -> quality,Hotels
comment_0_198,free water bottles <SEP> positive,Free water bottles were the last nice touch :),drink -> quality,Arts & Entertainment
comment_0_199,fresh daily guac <SEP> positive,Salsa .. & guac ... fresh daily ! !,drink -> quality,Restaurants
comment_0_200,fresh edamame <SEP> positive,And fresh edamame to have as an appetizer .  ,drink -> quality,Restaurants
comment_0_201,fresh everything <SEP> positive,Everything is so fresh and pretty .,drink -> quality,Arts & Entertainment
comment_0_202,fresh lime juice <SEP> positive,It is not sweet at all and it is mostly tequila with fresh lime juice .,drink -> quality,Restaurants
comment_0_203,fresh orange massage <SEP> positive,I even had a fresh lime and orange massage with my pedicure .  ,drink -> quality,Beauty & Spas
comment_0_204,fresh spring rolls <SEP> positive,"Had the rare beef spicy pho , fresh spring rolls and avocado shake .   ",drink -> quality,Restaurants
comment_0_205,fresh watermelon <SEP> positive,Finished with fresh watermelon !,drink -> quality,Restaurants
comment_0_206,frosted glass cutouts bar <SEP> positive,The bar has frosted glass cutouts of pinups which I thought was cool .,drink -> quality,Arts & Entertainment
comment_0_207,full bathtub <SEP> negative,The first thing I noticed was that the bathtub was full of human body hair ...,drink -> quality,Hotels
comment_0_208,full blown gel manicure <SEP> negative,I ended up paying under $ 30 for a full blown gel manicure !,drink -> quality,Beauty & Spas
comment_0_209,full of caprese <SEP> positive,I usually get the Caprese and it is light and full of flavor .  ,drink -> quality,Restaurants
comment_0_210,full set of acrylics <SEP> positive,First time in for a full set of acrylics and Cindy had me in and out within an hour and they look BEAUTIFUL !,drink -> quality,Beauty & Spas
comment_0_211,full sink <SEP> positive,There was also an extra sink in the bedroom in addition to the full bathroom .,drink -> quality,Hotels
comment_0_212,fully stocked kitchen <SEP> positive,My favorite parts were that the kitchen was fully stocked so we went and bought groceries,drink -> quality,Hotels
comment_0_213,fun mint green <SEP> positive,I got a fun mint green color,drink -> quality,Beauty & Spas
comment_0_214,generic coffee <SEP> negative,"Coffee is generic , inconsistent , and not very good .",drink -> quality,Arts & Entertainment
comment_0_215,generous helpings guacamole <SEP> positive,The chimi was topped with generous helpings of guacamole and sour cream .  ,drink -> quality,Restaurants
comment_0_216,generous pours <SEP> positive,Not cheap yet they are generous with their pours .  ,drink -> quality,Arts & Entertainment
comment_0_217,ghetto bud light glass <SEP> negative,The supposed Pacino 's Amber ale was served in a ghetto Bud Light glass .,drink -> quality,Restaurants
comment_0_218,good all day admission <SEP> positive,PS buy your tickets online for 20 % off and admission is good all day .,drink -> quality,Arts & Entertainment
comment_0_219,good bottle service <SEP> positive,"Clubs and bottle service and all that other crap is good and all , but Rehab is Vegas .   ",drink -> quality,Arts & Entertainment
comment_0_220,good choice mole enchiladas <SEP> positive,We had the mole enchiladas and it was a good choice .,drink -> quality,Restaurants
comment_0_221,good coffee <SEP> positive,Coffee is good too .,drink -> quality,Arts & Entertainment
comment_0_222,good cold noodle <SEP> positive,And the cold noodle ( I forget it 's name ) is good .   ,drink -> quality,Restaurants
comment_0_223,good double espresso <SEP> positive,My double espresso was good .  ,drink -> quality,Arts & Entertainment
comment_0_223,good double espresso <SEP> positive,"Bottle of wine , double espresso w/ a shot of sambuca ... good start to an evening .",drink -> quality,Restaurants
comment_0_224,good drink <SEP> positive,Have a good drink before you go in the rowdier the audience the better .,drink -> quality,Arts & Entertainment
comment_0_224,good drink <SEP> positive,If you want a good drink go to Bar Code and ask for Anna Baldwin you will leave with a smile on your face .,drink -> quality,Restaurants
comment_0_225,good drink selection <SEP> positive,Good drink selection .  ,drink -> quality,Restaurants
comment_0_226,good drink specials <SEP> positive,Looks like they have some good drink specials on some nights and $ 10 lunch specials .,drink -> quality,Restaurants
comment_0_227,good drinks <SEP> positive,Good drinks !  ,drink -> quality,Arts & Entertainment
comment_0_227,good drinks <SEP> positive,The drinks were good and reasonably priced $ 12 .,drink -> quality,Hotels
